,Potentia,Cut-off_velocity
0,-15,1325.9870882635917
1,-14,1452.5460784051259
2,-13,1568.9290811054723
3,-12,1677.2557387550692
4,-11,1778.9983599866428
5,-10,1875.2289237539817
6,-9,1966.7566875777663
7,-8,2054.210364052382
8,-7,2138.0899352993947
9,-6,2218.8007849009164
10,-5,2296.6770070528582
11,-4,2371.9978133155237
12,-3,2444.9993820085065
13,-2,2515.8836081326035
14,-1,2584.824690635456
15,0,2651.9741765271833
